,政黨,得票數,得票率,縣市,區
73,一邊一國行動黨,746,0.5261,臺北市,中山區
74,勞動黨,78,0.0550,臺北市,中山區
75,綠黨,4799,3.3846,臺北市,中山區
76,宗教聯盟,161,0.1135,臺北市,中山區
77,民主進步黨,46209,32.5895,臺北市,中山區
78,台灣民眾黨,18084,12.7540,臺北市,中山區
79,台灣維新,57,0.0402,臺北市,中山區
80,台澎黨,36,0.0254,臺北市,中山區
81,國會政黨聯盟,332,0.2341,臺北市,中山區
82,台灣團結聯盟,306,0.2158,臺北市,中山區
85,合一行動聯盟,61,0.0650,臺北市,中正區
86,中華統一促進黨,116,0.1235,臺北市,中正區
87,親民黨,3725,3.9668,臺北市,中正區
88,安定力量,818,0.8711,臺北市,中正區
89,台灣基進,2365,2.5185,臺北市,中正區
90,時代力量,7502,7.9890,臺北市,中正區
91,新黨,2364,2.5175,臺北市,中正區
92,喜樂島聯盟,201,0.2140,臺北市,中正區
93,中國國民黨,33146,35.2978,臺北市,中正區
94,一邊一國行動黨,406,0.4324,臺北市,中正區
95,勞動黨,63,0.0671,臺北市,中正區
96,綠黨,3473,3.6985,臺北市,中正區
97,宗教聯盟,118,0.1257,臺北市,中正區
98,民主進步黨,26441,28.1575,臺北市,中正區
99,台灣民眾黨,12552,13.3668,臺北市,中正區
100,台灣維新,65,0.0692,臺北市,中正區
101,台澎黨,19,0.0202,臺北市,中正區
102,國會政黨聯盟,280,0.2982,臺北市,中正區
103,台灣團結聯盟,189,0.2013,臺北市,中正區
106,合一行動聯盟,100,0.1285,臺北市,大同區
107,中華統一促進黨,110,0.1413,臺北市,大同區
108,親民黨,3253,4.1795,臺北市,大同區
109,安定力量,418,0.5371,臺北市,大同區
110,台灣基進,2097,2.6943,臺北市,大同區
111,時代力量,6340,8.1457,臺北市,大同區
112,新黨,813,1.0446,臺北市,大同區
113,喜樂島聯盟,156,0.2004,臺北市,大同區
114,中國國民黨,20088,25.8094,臺北市,大同區
115,一邊一國行動黨,558,0.7169,臺北市,大同區
116,勞動黨,54,0.0694,臺北市,大同區
117,綠黨,2474,3.1786,臺北市,大同區
118,宗教聯盟,117,0.1503,臺北市,大同區
119,民主進步黨,29829,38.3249,臺北市,大同區
120,台灣民眾黨,10989,14.1189,臺北市,大同區
121,台灣維新,39,0.0501,臺北市,大同區
122,台澎黨,34,0.0437,臺北市,大同區
123,國會政黨聯盟,161,0.2069,臺北市,大同區
124,台灣團結聯盟,202,0.2595,臺北市,大同區
127,合一行動聯盟,69,0.0585,臺北市,萬華區
128,中華統一促進黨,250,0.2120,臺北市,萬華區
129,親民黨,4380,3.7149,臺北市,萬華區
130,安定力量,656,0.5564,臺北市,萬華區
131,台灣基進,2479,2.1026,臺北市,萬華區
132,時代力量,8375,7.1033,臺北市,萬華區
133,新黨,2001,1.6972,臺北市,萬華區
134,喜樂島聯盟,226,0.1917,臺北市,萬華區
135,中國國民黨,39112,33.1730,臺北市,萬華區
136,一邊一國行動黨,770,0.6531,臺北市,萬華區
137,勞動黨,96,0.0814,臺北市,萬華區
138,綠黨,3263,2.7675,臺北市,萬華區
139,宗教聯盟,179,0.1518,臺北市,萬華區
140,民主進步黨,39686,33.6599,臺北市,萬華區
141,台灣民眾黨,15594,13.2261,臺北市,萬華區
142,台灣維新,91,0.0772,臺北市,萬華區
143,台澎黨,68,0.0577,臺北市,萬華區
144,國會政黨聯盟,313,0.2655,臺北市,萬華區
145,台灣團結聯盟,295,0.2502,臺北市,萬華區
148,合一行動聯盟,116,0.0691,臺北市,文山區
149,中華統一促進黨,274,0.1631,臺北市,文山區
150,親民黨,6520,3.8821,臺北市,文山區
151,安定力量,1843,1.0974,臺北市,文山區
152,台灣基進,3831,2.2810,臺北市,文山區
153,時代力量,13987,8.3281,臺北市,文山區
154,新黨,4924,2.9318,臺北市,文山區
155,喜樂島聯盟,320,0.1905,臺北市,文山區
156,中國國民黨,66455,39.5683,臺北市,文山區
157,一邊一國行動黨,525,0.3126,臺北市,文山區
158,勞動黨,157,0.0935,臺北市,文山區
159,綠黨,5709,3.3992,臺北市,文山區
160,宗教聯盟,204,0.1215,臺北市,文山區
161,民主進步黨,40584,24.1643,臺北市,文山區
162,台灣民眾黨,21542,12.8264,臺北市,文山區
163,台灣維新,92,0.0548,臺北市,文山區
164,台澎黨,63,0.0375,臺北市,文山區
165,國會政黨聯盟,465,0.2769,臺北市,文山區
166,台灣團結聯盟,339,0.2018,臺北市,文山區
169,合一行動聯盟,48,0.0639,臺北市,南港區
170,中華統一促進黨,183,0.2437,臺北市,南港區
171,親民黨,3010,4.0084,臺北市,南港區
172,安定力量,528,0.7031,臺北市,南港區
173,台灣基進,1646,2.1920,臺北市,南港區
174,時代力量,6330,8.4297,臺北市,南港區
175,新黨,1334,1.7765,臺北市,南港區
176,喜樂島聯盟,136,0.1811,臺北市,南港區
177,中國國民黨,25630,34.1315,臺北市,南港區
178,一邊一國行動黨,326,0.4341,臺北市,南港區
179,勞動黨,67,0.0892,臺北市,南港區
180,綠黨,2298,3.0602,臺北市,南港區
181,宗教聯盟,80,0.1065,臺北市,南港區
182,民主進步黨,22238,29.6143,臺北市,南港區
183,台灣民眾黨,10782,14.3584,臺北市,南港區
184,台灣維新,45,0.0599,臺北市,南港區
185,台澎黨,27,0.0360,臺北市,南港區
186,國會政黨聯盟,218,0.2903,臺北市,南港區
187,台灣團結聯盟,166,0.2211,臺北市,南港區
190,合一行動聯盟,87,0.0491,臺北市,內湖區
191,中華統一促進黨,273,0.1541,臺北市,內湖區
192,親民黨,7446,4.2024,臺北市,內湖區
193,安定力量,1585,0.8946,臺北市,內湖區
194,台灣基進,3904,2.2034,臺北市,內湖區
195,時代力量,16053,9.0601,臺北市,內湖區
196,新黨,3582,2.0216,臺北市,內湖區
197,喜樂島聯盟,262,0.1479,臺北市,內湖區
198,中國國民黨,61129,34.5005,臺北市,內湖區
199,一邊一國行動黨,732,0.4131,臺北市,內湖區
200,勞動黨,103,0.0581,臺北市,內湖區
201,綠黨,6065,3.4230,臺北市,內湖區
202,宗教聯盟,213,0.1202,臺北市,內湖區
203,民主進步黨,49804,28.1088,臺北市,內湖區
204,台灣民眾黨,25135,14.1859,臺北市,內湖區
205,台灣維新,59,0.0333,臺北市,內湖區
206,台澎黨,56,0.0316,臺北市,內湖區
207,國會政黨聯盟,413,0.2331,臺北市,內湖區
208,台灣團結聯盟,282,0.1592,臺北市,內湖區
211,合一行動聯盟,220,0.1245,臺北市,士林區
212,中華統一促進黨,247,0.1398,臺北市,士林區
213,親民黨,7866,4.4516,臺北市,士林區
214,安定力量,1221,0.6910,臺北市,士林區
215,台灣基進,4385,2.4816,臺北市,士林區
216,時代力量,14011,7.9292,臺北市,士林區
217,新黨,3085,1.7459,臺北市,士林區
218,喜樂島聯盟,352,0.1992,臺北市,士林區
219,中國國民黨,53053,30.0242,臺北市,士林區
220,一邊一國行動黨,978,0.5535,臺北市,士林區
221,勞動黨,97,0.0549,臺北市,士林區
222,綠黨,5517,3.1222,臺北市,士林區
223,宗教聯盟,258,0.1460,臺北市,士林區
224,民主進步黨,62421,35.3258,臺北市,士林區
225,台灣民眾黨,21944,12.4187,臺北市,士林區
226,台灣維新,84,0.0475,臺北市,士林區
227,台澎黨,79,0.0447,臺北市,士林區
228,國會政黨聯盟,426,0.2411,臺北市,士林區
229,台灣團結聯盟,457,0.2586,臺北市,士林區
232,合一行動聯盟,156,0.1000,臺北市,北投區
233,中華統一促進黨,226,0.1449,臺北市,北投區
234,親民黨,5850,3.7503,臺北市,北投區
235,安定力量,1054,0.6757,臺北市,北投區
236,台灣基進,3796,2.4335,臺北市,北投區
237,時代力量,12691,8.1359,臺北市,北投區
238,新黨,2817,1.8059,臺北市,北投區
239,喜樂島聯盟,298,0.1910,臺北市,北投區
240,中國國民黨,49570,31.7783,臺北市,北投區
241,一邊一國行動黨,889,0.5699,臺北市,北投區
242,勞動黨,124,0.0795,臺北市,北投區
243,綠黨,4898,3.1400,臺北市,北投區
244,宗教聯盟,255,0.1635,臺北市,北投區
245,民主進步黨,52040,33.3618,臺北市,北投區
246,台灣民眾黨,20440,13.1037,臺北市,北投區
247,台灣維新,58,0.0372,臺北市,北投區
248,台澎黨,73,0.0468,臺北市,北投區
249,國會政黨聯盟,401,0.2571,臺北市,北投區
250,台灣團結聯盟,351,0.2250,臺北市,北投區
253,合一行動聯盟,367,0.1073,新北市,板橋區
254,中華統一促進黨,735,0.2149,新北市,板橋區
255,親民黨,14049,4.1083,新北市,板橋區
256,安定力量,2350,0.6872,新北市,板橋區
257,台灣基進,7939,2.3216,新北市,板橋區
258,時代力量,28520,8.3401,新北市,板橋區
259,新黨,3817,1.1162,新北市,板橋區
260,喜樂島聯盟,594,0.1737,新北市,板橋區
261,中國國民黨,104806,30.6483,新北市,板橋區
262,一邊一國行動黨,1770,0.5176,新北市,板橋區
263,勞動黨,332,0.0971,新北市,板橋區
264,綠黨,9184,2.6857,新北市,板橋區
265,宗教聯盟,561,0.1641,新北市,板橋區
266,民主進步黨,123197,36.0263,新北市,板橋區
267,台灣民眾黨,41749,12.2086,新北市,板橋區
268,台灣維新,184,0.0538,新北市,板橋區
269,台澎黨,269,0.0787,新北市,板橋區
270,國會政黨聯盟,704,0.2059,新北市,板橋區
271,台灣團結聯盟,837,0.2448,新北市,板橋區
274,合一行動聯盟,250,0.1035,新北市,三重區
275,中華統一促進黨,504,0.2087,新北市,三重區
276,親民黨,9554,3.9566,新北市,三重區
277,安定力量,1240,0.5135,新北市,三重區
278,台灣基進,5779,2.3933,新北市,三重區
279,時代力量,19578,8.1079,新北市,三重區
280,新黨,1923,0.7964,新北市,三重區
281,喜樂島聯盟,449,0.1859,新北市,三重區
282,中國國民黨,66335,27.4715,新北市,三重區
283,一邊一國行動黨,1846,0.7645,新北市,三重區
284,勞動黨,259,0.1073,新北市,三重區
285,綠黨,5872,2.4318,新北市,三重區
286,宗教聯盟,402,0.1665,新北市,三重區
287,民主進步黨,94779,39.2512,新北市,三重區
288,台灣民眾黨,31066,12.8655,新北市,三重區
289,台灣維新,215,0.0890,新北市,三重區
290,台澎黨,145,0.0600,新北市,三重區
291,國會政黨聯盟,447,0.1851,新北市,三重區
292,台灣團結聯盟,825,0.3417,新北市,三重區
295,合一行動聯盟,324,0.1231,新北市,中和區
296,中華統一促進黨,480,0.1824,新北市,中和區
297,親民黨,11255,4.2762,新北市,中和區
298,安定力量,1789,0.6797,新北市,中和區
299,台灣基進,5208,1.9787,新北市,中和區
300,時代力量,20156,7.6579,新北市,中和區
301,新黨,4934,1.8746,新北市,中和區
302,喜樂島聯盟,422,0.1603,新北市,中和區
303,中國國民黨,102293,38.8645,新北市,中和區
304,一邊一國行動黨,1143,0.4343,新北市,中和區
305,勞動黨,265,0.1007,新北市,中和區
306,綠黨,7034,2.6725,新北市,中和區
307,宗教聯盟,464,0.1763,新北市,中和區
308,民主進步黨,76283,28.9825,新北市,中和區
309,台灣民眾黨,29550,11.2270,新北市,中和區
310,台灣維新,157,0.0596,新北市,中和區
311,台澎黨,131,0.0498,新北市,中和區
312,國會政黨聯盟,685,0.2603,新北市,中和區
313,台灣團結聯盟,631,0.2397,新北市,中和區
316,合一行動聯盟,119,0.0858,新北市,永和區
317,中華統一促進黨,243,0.1752,新北市,永和區
318,親民黨,6010,4.3320,新北市,永和區
319,安定力量,1130,0.8145,新北市,永和區
320,台灣基進,2792,2.0125,新北市,永和區
321,時代力量,10613,7.6498,新北市,永和區
322,新黨,3402,2.4522,新北市,永和區
323,喜樂島聯盟,267,0.1925,新北市,永和區
324,中國國民黨,57526,41.4647,新北市,永和區
325,一邊一國行動黨,531,0.3827,新北市,永和區
326,勞動黨,148,0.1067,新北市,永和區
327,綠黨,4248,3.0620,新北市,永和區
328,宗教聯盟,193,0.1391,新北市,永和區
329,民主進步黨,35279,25.4291,新北市,永和區
330,台灣民眾黨,15312,11.0369,新北市,永和區
331,台灣維新,149,0.1074,新北市,永和區
332,台澎黨,35,0.0252,新北市,永和區
333,國會政黨聯盟,461,0.3323,新北市,永和區
334,台灣團結聯盟,277,0.1997,新北市,永和區
337,合一行動聯盟,227,0.0902,新北市,新莊區
338,中華統一促進黨,364,0.1447,新北市,新莊區
339,親民黨,11177,4.4424,新北市,新莊區
340,安定力量,1576,0.6264,新北市,新莊區
341,台灣基進,6032,2.3975,新北市,新莊區
342,時代力量,22072,8.7727,新北市,新莊區
343,新黨,2307,0.9169,新北市,新莊區
344,喜樂島聯盟,412,0.1638,新北市,新莊區
345,中國國民黨,70531,28.0332,新北市,新莊區
346,一邊一國行動黨,1240,0.4928,新北市,新莊區
347,勞動黨,262,0.1041,新北市,新莊區
348,綠黨,6820,2.7107,新北市,新莊區
349,宗教聯盟,437,0.1737,新北市,新莊區
350,民主進步黨,93745,37.2598,新北市,新莊區
351,台灣民眾黨,32932,13.0891,新北市,新莊區
352,台灣維新,125,0.0497,新北市,新莊區
353,台澎黨,132,0.0525,新北市,新莊區
354,國會政黨聯盟,527,0.2095,新北市,新莊區
355,台灣團結聯盟,680,0.2703,新北市,新莊區
358,合一行動聯盟,236,0.1226,新北市,新店區
359,中華統一促進黨,378,0.1964,新北市,新店區
360,親民黨,7854,4.0812,新北市,新店區
361,安定力量,1583,0.8226,新北市,新店區
362,台灣基進,3708,1.9268,新北市,新店區
363,時代力量,13389,6.9573,新北市,新店區
364,新黨,5993,3.1142,新北市,新店區
365,喜樂島聯盟,327,0.1699,新北市,新店區
366,中國國民黨,82689,42.9678,新北市,新店區
367,一邊一國行動黨,569,0.2957,新北市,新店區
368,勞動黨,221,0.1148,新北市,新店區
369,綠黨,5665,2.9437,新北市,新店區
370,宗教聯盟,307,0.1595,新北市,新店區
371,民主進步黨,48284,25.0899,新北市,新店區
372,台灣民眾黨,20172,10.4820,新北市,新店區
373,台灣維新,83,0.0431,新北市,新店區
374,台澎黨,142,0.0738,新北市,新店區
375,國會政黨聯盟,461,0.2396,新北市,新店區
376,台灣團結聯盟,383,0.1990,新北市,新店區
379,合一行動聯盟,147,0.1345,新北市,樹林區
380,中華統一促進黨,256,0.2342,新北市,樹林區
381,親民黨,4504,4.1211,新北市,樹林區
382,安定力量,713,0.6524,新北市,樹林區
383,台灣基進,2685,2.4568,新北市,樹林區
384,時代力量,8965,8.2029,新北市,樹林區
385,新黨,1016,0.9296,新北市,樹林區
386,喜樂島聯盟,192,0.1757,新北市,樹林區
387,中國國民黨,32980,30.1766,新北市,樹林區
388,一邊一國行動黨,478,0.4374,新北市,樹林區
389,勞動黨,122,0.1116,新北市,樹林區
390,綠黨,2702,2.4723,新北市,樹林區
391,宗教聯盟,212,0.1940,新北市,樹林區
392,民主進步黨,39798,36.4150,新北市,樹林區
393,台灣民眾黨,13787,12.6151,新北市,樹林區
394,台灣維新,62,0.0567,新北市,樹林區
395,台澎黨,57,0.0522,新北市,樹林區
396,國會政黨聯盟,240,0.2196,新北市,樹林區
397,台灣團結聯盟,374,0.3422,新北市,樹林區
400,合一行動聯盟,83,0.1625,新北市,鶯歌區
401,中華統一促進黨,193,0.3779,新北市,鶯歌區
402,親民黨,2078,4.0693,新北市,鶯歌區
403,安定力量,242,0.4739,新北市,鶯歌區
404,台灣基進,1160,2.2716,新北市,鶯歌區
405,時代力量,3986,7.8057,新北市,鶯歌區
406,新黨,394,0.7716,新北市,鶯歌區
407,喜樂島聯盟,121,0.2370,新北市,鶯歌區
408,中國國民黨,15810,30.9605,新北市,鶯歌區
409,一邊一國行動黨,340,0.6658,新北市,鶯歌區
410,勞動黨,81,0.1586,新北市,鶯歌區
411,綠黨,1226,2.4009,新北市,鶯歌區
412,宗教聯盟,110,0.2154,新北市,鶯歌區
413,民主進步黨,18891,36.9940,新北市,鶯歌區
414,台灣民眾黨,5990,11.7301,新北市,鶯歌區
415,台灣維新,30,0.0587,新北市,鶯歌區
416,台澎黨,44,0.0862,新北市,鶯歌區
417,國會政黨聯盟,114,0.2232,新北市,鶯歌區
418,台灣團結聯盟,172,0.3368,新北市,鶯歌區
421,合一行動聯盟,135,0.2049,新北市,三峽區
422,中華統一促進黨,129,0.1958,新北市,三峽區
423,親民黨,2807,4.2614,新北市,三峽區
424,安定力量,365,0.5541,新北市,三峽區
425,台灣基進,1551,2.3546,新北市,三峽區
426,時代力量,4939,7.4981,新北市,三峽區
427,新黨,743,1.1280,新北市,三峽區
428,喜樂島聯盟,156,0.2368,新北市,三峽區
429,中國國民黨,21666,32.8921,新北市,三峽區
430,一邊一國行動黨,293,0.4448,新北市,三峽區
431,勞動黨,72,0.1093,新北市,三峽區
432,綠黨,1682,2.5535,新北市,三峽區
433,宗教聯盟,130,0.1974,新北市,三峽區
434,民主進步黨,22631,34.3571,新北市,三峽區
435,台灣民眾黨,8123,12.3319,新北市,三峽區
436,台灣維新,55,0.0835,新北市,三峽區
437,台澎黨,40,0.0607,新北市,三峽區
438,國會政黨聯盟,157,0.2383,新北市,三峽區
439,台灣團結聯盟,196,0.2976,新北市,三峽區
442,合一行動聯盟,100,0.0937,新北市,淡水區
443,中華統一促進黨,155,0.1453,新北市,淡水區
444,親民黨,4343,4.0703,新北市,淡水區
445,安定力量,789,0.7395,新北市,淡水區
446,台灣基進,2453,2.2990,新北市,淡水區
447,時代力量,8391,7.8641,新北市,淡水區
448,新黨,1859,1.7423,新北市,淡水區
449,喜樂島聯盟,227,0.2127,新北市,淡水區
450,中國國民黨,37598,35.2371,新北市,淡水區
451,一邊一國行動黨,407,0.3814,新北市,淡水區
452,勞動黨,132,0.1237,新北市,淡水區
453,綠黨,3355,3.1443,新北市,淡水區
454,宗教聯盟,189,0.1771,新北市,淡水區
455,民主進步黨,33122,31.0422,新北市,淡水區
456,台灣民眾黨,12694,11.8969,新北市,淡水區
457,台灣維新,101,0.0947,新北市,淡水區
458,台澎黨,70,0.0656,新北市,淡水區
459,國會政黨聯盟,428,0.4011,新北市,淡水區
460,台灣團結聯盟,287,0.2690,新北市,淡水區
463,合一行動聯盟,96,0.0760,新北市,汐止區
464,中華統一促進黨,177,0.1402,新北市,汐止區
465,親民黨,5321,4.2152,新北市,汐止區
466,安定力量,1427,1.1304,新北市,汐止區
467,台灣基進,2254,1.7856,新北市,汐止區
468,時代力量,11784,9.3351,新北市,汐止區
469,新黨,2049,1.6232,新北市,汐止區
470,喜樂島聯盟,211,0.1672,新北市,汐止區
471,中國國民黨,45060,35.6959,新北市,汐止區
472,一邊一國行動黨,509,0.4032,新北市,汐止區
473,勞動黨,121,0.0959,新北市,汐止區
474,綠黨,3114,2.4669,新北市,汐止區
475,宗教聯盟,188,0.1489,新北市,汐止區
476,民主進步黨,38814,30.7479,新北市,汐止區
477,台灣民眾黨,14434,11.4344,新北市,汐止區
478,台灣維新,138,0.1093,新北市,汐止區
479,台澎黨,55,0.0436,新北市,汐止區
480,國會政黨聯盟,225,0.1782,新北市,汐止區
481,台灣團結聯盟,256,0.2028,新北市,汐止區
484,合一行動聯盟,29,0.1263,新北市,瑞芳區
485,中華統一促進黨,68,0.2962,新北市,瑞芳區
486,親民黨,898,3.9115,新北市,瑞芳區
487,安定力量,203,0.8842,新北市,瑞芳區
488,台灣基進,399,1.7380,新北市,瑞芳區
489,時代力量,1878,8.1802,新北市,瑞芳區
490,新黨,189,0.8232,新北市,瑞芳區
491,喜樂島聯盟,36,0.1568,新北市,瑞芳區
492,中國國民黨,8975,39.0931,新北市,瑞芳區
493,一邊一國行動黨,91,0.3964,新北市,瑞芳區
494,勞動黨,46,0.2004,新北市,瑞芳區
495,綠黨,392,1.7075,新北市,瑞芳區
496,宗教聯盟,84,0.3659,新北市,瑞芳區
497,民主進步黨,7320,31.8843,新北市,瑞芳區
498,台灣民眾黨,2122,9.2430,新北市,瑞芳區
499,台灣維新,45,0.1960,新北市,瑞芳區
500,台澎黨,35,0.1525,新北市,瑞芳區
501,國會政黨聯盟,39,0.1699,新北市,瑞芳區
502,台灣團結聯盟,109,0.4748,新北市,瑞芳區
505,合一行動聯盟,211,0.1464,新北市,土城區
506,中華統一促進黨,334,0.2317,新北市,土城區
507,親民黨,6302,4.3726,新北市,土城區
508,安定力量,829,0.5752,新北市,土城區
509,台灣基進,3495,2.4250,新北市,土城區
510,時代力量,12241,8.4933,新北市,土城區
511,新黨,1583,1.0983,新北市,土城區
512,喜樂島聯盟,252,0.1748,新北市,土城區
513,中國國民黨,45367,31.4773,新北市,土城區
514,一邊一國行動黨,593,0.4114,新北市,土城區
515,勞動黨,161,0.1117,新北市,土城區
516,綠黨,3341,2.3181,新北市,土城區
517,宗教聯盟,294,0.2040,新北市,土城區
518,民主進步黨,50587,35.0991,新北市,土城區
519,台灣民眾黨,17689,12.2733,新北市,土城區
520,台灣維新,70,0.0486,新北市,土城區
521,台澎黨,80,0.0555,新北市,土城區
522,國會政黨聯盟,306,0.2123,新北市,土城區
523,台灣團結聯盟,391,0.2713,新北市,土城區
526,合一行動聯盟,145,0.1205,新北市,蘆洲區
527,中華統一促進黨,171,0.1421,新北市,蘆洲區
528,親民黨,4883,4.0567,新北市,蘆洲區
529,安定力量,555,0.4611,新北市,蘆洲區
530,台灣基進,3117,2.5896,新北市,蘆洲區
531,時代力量,10280,8.5405,新北市,蘆洲區
532,新黨,852,0.7078,新北市,蘆洲區
533,喜樂島聯盟,210,0.1745,新北市,蘆洲區
534,中國國民黨,31530,26.1947,新北市,蘆洲區
535,一邊一國行動黨,785,0.6522,新北市,蘆洲區
536,勞動黨,118,0.0980,新北市,蘆洲區
537,綠黨,3054,2.5372,新北市,蘆洲區
538,宗教聯盟,190,0.1578,新北市,蘆洲區
539,民主進步黨,47696,39.6251,新北市,蘆洲區
540,台灣民眾黨,16025,13.3133,新北市,蘆洲區
541,台灣維新,59,0.0490,新北市,蘆洲區
542,台澎黨,70,0.0582,新北市,蘆洲區
543,國會政黨聯盟,181,0.1504,新北市,蘆洲區
544,台灣團結聯盟,447,0.3714,新北市,蘆洲區
547,合一行動聯盟,122,0.2341,新北市,五股區
548,中華統一促進黨,103,0.1976,新北市,五股區
549,親民黨,2127,4.0809,新北市,五股區
550,安定力量,316,0.6063,新北市,五股區
551,台灣基進,1254,2.4059,新北市,五股區
552,時代力量,4254,8.1618,新北市,五股區
553,新黨,460,0.8826,新北市,五股區
554,喜樂島聯盟,110,0.2110,新北市,五股區
555,中國國民黨,15590,29.9112,新北市,五股區
556,一邊一國行動黨,298,0.5717,新北市,五股區
557,勞動黨,57,0.1094,新北市,五股區
558,綠黨,1125,2.1584,新北市,五股區
559,宗教聯盟,86,0.1650,新北市,五股區
560,民主進步黨,19629,37.6604,新北市,五股區
561,台灣民眾黨,6277,12.0431,新北市,五股區
562,台灣維新,33,0.0633,新北市,五股區
563,台澎黨,27,0.0518,新北市,五股區
564,國會政黨聯盟,76,0.1458,新北市,五股區
565,台灣團結聯盟,177,0.3396,新北市,五股區
568,合一行動聯盟,59,0.1271,新北市,泰山區
569,中華統一促進黨,66,0.1422,新北市,泰山區
570,親民黨,2786,6.0026,新北市,泰山區
571,安定力量,191,0.4115,新北市,泰山區
572,台灣基進,996,2.1460,新北市,泰山區
573,時代力量,3879,8.3576,新北市,泰山區
574,新黨,434,0.9351,新北市,泰山區
575,喜樂島聯盟,76,0.1637,新北市,泰山區
576,中國國民黨,13819,29.7740,新北市,泰山區
577,一邊一國行動黨,185,0.3986,新北市,泰山區
578,勞動黨,49,0.1056,新北市,泰山區
579,綠黨,1173,2.5273,新北市,泰山區
580,宗教聯盟,96,0.2068,新北市,泰山區
581,民主進步黨,16465,35.4750,新北市,泰山區
582,台灣民眾黨,5873,12.6538,新北市,泰山區
583,台灣維新,45,0.0970,新北市,泰山區
584,台澎黨,21,0.0452,新北市,泰山區
585,國會政黨聯盟,80,0.1724,新北市,泰山區
586,台灣團結聯盟,120,0.2585,新北市,泰山區
589,合一行動聯盟,55,0.0842,新北市,林口區
590,中華統一促進黨,108,0.1653,新北市,林口區
591,親民黨,3266,4.9989,新北市,林口區
592,安定力量,455,0.6964,新北市,林口區
593,台灣基進,1604,2.4551,新北市,林口區
594,時代力量,5584,8.5469,新北市,林口區
595,新黨,1153,1.7648,新北市,林口區
596,喜樂島聯盟,97,0.1485,新北市,林口區
597,中國國民黨,21614,33.0823,新北市,林口區
598,一邊一國行動黨,218,0.3337,新北市,林口區
599,勞動黨,44,0.0673,新北市,林口區
